[INFO] [1697971489.724471695] [robot_controller]: k1: 1.0
[INFO] [1697971489.725048969] [robot_controller]: k2: 5.0
[INFO] [1697971489.725491893] [robot_controller]: Max_linear: 2.0
[INFO] [1697971489.725972184] [robot_controller]: Max_angular: 3.0
[INFO] [1697971489.726564742] [robot_controller]: Target_distance: 1.0
[INFO] [1697971493.912581172] [robot_controller]: right;2.7546;-1.7546;-4.0903;0.2445
[INFO] [1697971493.920705735] [robot_controller]: right;2.7546;-1.7546;-4.0903;0.2445
[INFO] [1697971493.931582301] [robot_controller]: right;2.7545;-1.7545;-4.0903;0.2445
[INFO] [1697971493.940243088] [robot_controller]: right;2.7545;-1.7545;-4.0902;0.2445
[INFO] [1697971493.951142418] [robot_controller]: right;2.7545;-1.7545;-4.0902;0.2445
[INFO] [1697971493.960460886] [robot_controller]: right;2.7544;-1.7544;-4.0901;0.2445
[INFO] [1697971493.977561132] [robot_controller]: right;2.7544;-1.7544;-4.0901;0.2445
[INFO] [1697971493.987390891] [robot_controller]: right;2.7543;-1.7543;-4.0900;0.2445
[INFO] [1697971493.997619363] [robot_controller]: right;2.7542;-1.7542;-4.0899;0.2445
[INFO] [1697971494.006448375] [robot_controller]: right;2.7542;-1.7542;-4.0899;0.2445
[INFO] [1697971494.023176335] [robot_controller]: right;2.7541;-1.7541;-4.0898;0.2445
[INFO] [1697971494.035099888] [robot_controller]: right;2.7540;-1.7540;-4.0897;0.2445
[INFO] [1697971494.053110466] [robot_controller]: right;2.7539;-1.7539;-4.0896;0.2445
[INFO] [1697971494.059466527] [robot_controller]: right;2.7538;-1.7538;-4.0895;0.2445
[INFO] [1697971494.069187678] [robot_controller]: right;2.7537;-1.7537;-4.0895;0.2445
[INFO] [1697971494.077886426] [robot_controller]: right;2.7537;-1.7537;-4.0894;0.2445
[INFO] [1697971494.093048333] [robot_controller]: right;2.7538;-1.7538;-4.0895;0.2445
[INFO] [1697971494.101245829] [robot_controller]: right;2.7548;-1.7548;-4.0906;0.2445
[INFO] [1697971494.113187513] [robot_controller]: right;2.7560;-1.7560;-4.0917;0.2444
[INFO] [1697971494.123401112] [robot_controller]: right;2.7571;-1.7571;-4.0053;0.2497
[INFO] [1697971494.134840537] [robot_controller]: right;2.7581;-1.7581;-3.9189;0.2552
[INFO] [1697971494.144247163] [robot_controller]: right;2.7590;-1.7590;-3.9198;0.2551
[INFO] [1697971494.154883500] [robot_controller]: right;2.7600;-1.7600;-3.8333;0.2609
[INFO] [1697971494.167772983] [robot_controller]: right;2.7610;-1.7610;-3.7469;0.2669
[INFO] [1697971494.176087666] [robot_controller]: right;2.7620;-1.7620;-3.6604;0.2732
[INFO] [1697971494.193626699] [robot_controller]: right;2.7630;-1.7630;-3.5739;0.2798
[INFO] [1697971494.202303124] [robot_controller]: right;2.7640;-1.7640;-3.4874;0.2868
[INFO] [1697971494.212693025] [robot_controller]: right;2.7649;-1.7649;-3.4884;0.2867
[INFO] [1697971494.224326464] [robot_controller]: right;2.7658;-1.7658;-3.4018;0.2940
[INFO] [1697971494.236778785] [robot_controller]: right;2.7666;-1.7666;-3.3151;0.3017
[INFO] [1697971494.246831783] [robot_controller]: right;2.7674;-1.7674;-3.2284;0.3098
[INFO] [1697971494.258074494] [robot_controller]: right;2.7682;-1.7682;-3.1418;0.3183
[INFO] [1697971494.272086471] [robot_controller]: right;2.7690;-1.7690;-3.0552;0.3273
[INFO] [1697971494.282963857] [robot_controller]: right;2.7698;-1.7698;-2.9685;0.3369
[INFO] [1697971494.301220615] [robot_controller]: right;2.7706;-1.7706;-2.9692;0.3368
[INFO] [1697971494.310377812] [robot_controller]: right;2.7712;-1.7712;-2.8824;0.3469
[INFO] [1697971494.319497161] [robot_controller]: right;2.7719;-1.7719;-2.7956;0.3577
[INFO] [1697971494.332342004] [robot_controller]: right;2.7725;-1.7725;-2.7088;0.3692
[INFO] [1697971494.343842160] [robot_controller]: right;2.7732;-1.7732;-2.6220;0.3814
[INFO] [1697971494.353043268] [robot_controller]: right;2.7738;-1.7738;-2.6226;0.3813
[INFO] [1697971494.362408228] [robot_controller]: right;2.7743;-1.7743;-2.5357;0.3944
[INFO] [1697971494.380726313] [robot_controller]: right;2.7748;-1.7748;-2.4487;0.4084
[INFO] [1697971494.389421560] [robot_controller]: right;2.7754;-1.7754;-2.3618;0.4234
[INFO] [1697971494.398927014] [robot_controller]: right;2.7758;-1.7758;-2.3622;0.4233
[INFO] [1697971494.419052649] [robot_controller]: right;2.7762;-1.7762;-2.2751;0.4396
[INFO] [1697971494.423114733] [robot_controller]: right;2.7766;-1.7766;-2.1881;0.4570
[INFO] [1697971494.435924871] [robot_controller]: right;2.7770;-1.7770;-2.1885;0.4570
[INFO] [1697971494.446164226] [robot_controller]: right;2.7772;-1.7772;-2.1013;0.4759
[INFO] [1697971494.459827030] [robot_controller]: right;2.7776;-1.7776;-2.0141;0.4965
[INFO] [1697971494.475010303] [robot_controller]: right;2.7778;-1.7778;-2.0143;0.4965
[INFO] [1697971494.489213569] [robot_controller]: right;2.7779;-1.7779;-1.9270;0.5190
