1697966408.198654875] [robot_controller]: k1: 1.0
1697966408.199840104] [robot_controller]: k2: 5.0
1697966408.200762381] [robot_controller]: Max_linear: 10.0
1697966408.201576518] [robot_controller]: Max_angular: 10.0
1697966408.202515232] [robot_controller]: Target_distance: 1.0
1697966413.133759091] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.142687094] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.155140903] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.163756091] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.178890626] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.188769656] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.198688295] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.213756014] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.226927545] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.236154733] [robot_controller]: right;2.3741;-1.3741;-6.4212;0.2000
1697966413.244095899] [robot_controller]: right;2.3740;-1.3740;-6.4211;0.2000
1697966413.253611220] [robot_controller]: right;2.3740;-1.3740;-6.4211;0.2000
1697966413.267385533] [robot_controller]: right;2.3739;-1.3739;-6.4210;0.2000
1697966413.278386060] [robot_controller]: right;2.3738;-1.3738;-6.4209;0.2000
1697966413.286472848] [robot_controller]: right;2.3737;-1.3737;-6.4208;0.2000
1697966413.296445140] [robot_controller]: right;2.3736;-1.3736;-6.4207;0.2000
1697966413.305952866] [robot_controller]: right;2.3735;-1.3735;-6.4206;0.2000
1697966413.320617009] [robot_controller]: right;2.3740;-1.3740;-6.3336;0.2000
1697966413.330387114] [robot_controller]: right;2.3752;-1.3752;-6.1599;0.2000
1697966413.341956049] [robot_controller]: right;2.3763;-1.3763;-6.0736;0.2000
1697966413.351181707] [robot_controller]: right;2.3775;-1.3775;-5.9873;0.2000
1697966413.365101075] [robot_controller]: right;2.3786;-1.3786;-5.8135;0.2000
1697966413.375424904] [robot_controller]: right;2.3797;-1.3797;-5.7271;0.2000
1697966413.384240561] [robot_controller]: right;2.3809;-1.3809;-5.5534;0.2000
1697966413.399745195] [robot_controller]: right;2.3822;-1.3822;-5.4672;0.2000
1697966413.408864718] [robot_controller]: right;2.3836;-1.3836;-5.2936;0.2000
1697966413.419859356] [robot_controller]: right;2.3850;-1.3850;-5.2076;0.2000
1697966413.433599238] [robot_controller]: right;2.3865;-1.3865;-5.0342;0.2000
1697966413.448770978] [robot_controller]: right;2.3877;-1.3877;-4.9479;0.2021
1697966413.457717094] [robot_controller]: right;2.3889;-1.3889;-4.7742;0.2095
1697966413.472790511] [robot_controller]: right;2.3901;-1.3901;-4.6880;0.2133
1697966413.481028280] [robot_controller]: right;2.3914;-1.3914;-4.5143;0.2215
1697966413.489929327] [robot_controller]: right;2.3925;-1.3925;-4.4279;0.2258
1697966413.502854047] [robot_controller]: right;2.3937;-1.3937;-4.3417;0.2303
1697966413.511788065] [robot_controller]: right;2.3948;-1.3948;-4.1679;0.2399
1697966413.519558662] [robot_controller]: right;2.3959;-1.3959;-4.0815;0.2450
1697966413.529528198] [robot_controller]: right;2.3971;-1.3971;-3.9952;0.2503
1697966413.537411538] [robot_controller]: right;2.3983;-1.3983;-3.9089;0.2558
1697966413.546522826] [robot_controller]: right;2.3995;-1.3995;-3.8227;0.2616
1697966413.557312637] [robot_controller]: right;2.4006;-1.4006;-3.6488;0.2741
1697966413.567309214] [robot_controller]: right;2.4017;-1.4017;-3.5624;0.2807
1697966413.578735316] [robot_controller]: right;2.4027;-1.4027;-3.4760;0.2877
1697966413.593664881] [robot_controller]: right;2.4037;-1.4037;-3.3896;0.2950
1697966413.607837700] [robot_controller]: right;2.4047;-1.4047;-3.3031;0.3028
1697966413.618028266] [robot_controller]: right;2.4057;-1.4057;-3.2166;0.3109
1697966413.628538634] [robot_controller]: right;2.4067;-1.4067;-3.1302;0.3195
1697966413.642003772] [robot_controller]: right;2.4077;-1.4077;-3.0437;0.3286
1697966413.653387703] [robot_controller]: right;2.4087;-1.4087;-2.9572;0.3382
1697966413.663752880] [robot_controller]: right;2.4097;-1.4097;-2.8708;0.3484
1697966413.679909546] [robot_controller]: right;2.4107;-1.4107;-2.8717;0.3482
1697966413.690442236] [robot_controller]: right;2.4116;-1.4116;-2.7852;0.3591
1697966413.703748701] [robot_controller]: right;2.4124;-1.4124;-2.6986;0.3706
1697966413.713518849] [robot_controller]: right;2.4133;-1.4133;-2.6120;0.3829
1697966413.722701938] [robot_controller]: right;2.4142;-1.4142;-2.5254;0.3960
1697966413.737996075] [robot_controller]: right;2.4150;-1.4150;-2.5262;0.3959
1697966413.749749814] [robot_controller]: right;2.4158;-1.4158;-2.4395;0.4099
1697966413.756782312] [robot_controller]: right;2.4166;-1.4166;-2.3528;0.4250
1697966413.767861090] [robot_controller]: right;2.4174;-1.4174;-2.2662;0.4413
1697966413.776239066] [robot_controller]: right;2.4180;-1.4180;-2.2668;0.4412
1697966413.784920799] [robot_controller]: right;2.4187;-1.4187;-2.1800;0.4587
1697966413.794918813] [robot_controller]: right;2.4194;-1.4194;-2.0933;0.4777
1697966413.808427522] [robot_controller]: right;2.4200;-1.4200;-2.0938;0.4776
1697966413.820404057] [robot_controller]: right;2.4206;-1.4206;-2.0070;0.4983
1697966413.835047172] [robot_controller]: right;2.4212;-1.4212;-2.0076;0.4981
1697966413.841081027] [robot_controller]: right;2.4216;-1.4216;-1.9206;0.5207
1697966413.850359148] [robot_controller]: right;2.4222;-1.4222;-1.8337;0.5454
1697966413.860901798] [robot_controller]: right;2.4226;-1.4226;-1.8340;0.5453
1697966413.872958908] [robot_controller]: right;2.4230;-1.4230;-1.7470;0.5724
1697966413.884667238] [robot_controller]: right;2.4233;-1.4233;-1.7473;0.5723
1697966413.897357162] [robot_controller]: right;2.4236;-1.4236;-1.6602;0.6024
1697966413.923946220] [robot_controller]: right;2.4239;-1.4239;-1.6605;0.6023
1697966413.926985361] [robot_controller]: right;2.4242;-1.4242;-1.5733;0.6357
1697966413.935149551] [robot_controller]: right;2.4244;-1.4244;-1.5735;0.6356
1697966413.943070843] [robot_controller]: right;2.4245;-1.4245;-1.4861;0.6729
1697966413.957664758] [robot_controller]: right;2.4246;-1.4246;-1.4862;0.6729
1697966413.965504352] [robot_controller]: right;2.4247;-1.4247;-1.3988;0.7149
1697966413.976861455] [robot_controller]: right;2.4246;-1.4246;-1.3987;0.7150
1697966413.990855584] [robot_controller]: right;2.4245;-1.4245;-1.3112;0.7627
1697966413.999475106] [robot_controller]: right;2.4243;-1.4243;-1.3110;0.7628
1697966414.010369949] [robot_controller]: right;2.4241;-1.4241;-1.2233;0.8175
1697966414.026462352] [robot_controller]: right;2.4237;-1.4237;-1.2229;0.8178
1697966414.033784619] [robot_controller]: right;2.4234;-1.4234;-1.1352;0.8810
1697966414.042871135] [robot_controller]: right;2.4228;-1.4228;-1.1346;0.8814
1697966414.057311492] [robot_controller]: right;2.4224;-1.4224;-1.0467;0.9555
1697966414.065212620] [robot_controller]: right;2.4216;-1.4216;-1.0459;0.9562
1697966414.074802127] [robot_controller]: right;2.4210;-1.4210;-1.0452;0.9568
1697966414.085900384] [robot_controller]: right;2.4200;-1.4200;-0.9568;1.0000
1697966414.103075981] [robot_controller]: right;2.4192;-1.4192;-0.9560;1.0000
1697966414.107161644] [robot_controller]: right;2.4180;-1.4180;-0.8674;1.0000
1697966414.117290857] [robot_controller]: right;2.4170;-1.4170;-0.8663;1.0000
1697966414.130809733] [robot_controller]: right;2.4156;-1.4156;-0.7775;1.0000
1697966414.139500438] [robot_controller]: right;2.4143;-1.4143;-0.6888;1.0000
1697966414.149809510] [robot_controller]: right;2.4128;-1.4128;-0.6872;1.0000
1697966414.162533202] [robot_controller]: right;2.4113;-1.4113;-0.6857;1.0000
1697966414.171773767] [robot_controller]: right;2.4097;-1.4097;-0.5966;1.0000
1697966414.182587286] [robot_controller]: right;2.4080;-1.4080;-0.5949;1.0000
1697966414.197376765] [robot_controller]: right;2.4063;-1.4063;-0.5932;1.0000
1697966414.207039413] [robot_controller]: right;2.4046;-1.4046;-0.5915;1.0000
1697966414.218719041] [robot_controller]: right;2.4027;-1.4027;-0.5022;1.0000
1697966414.233806474] [robot_controller]: right;2.4009;-1.4009;-0.5004;1.0000
1697966414.244410157] [robot_controller]: right;2.3991;-1.3991;-0.4986;1.0000
1697966414.253530400] [robot_controller]: right;2.3973;-1.3973;-0.4968;1.0000
1697966414.268237704] [robot_controller]: right;2.3955;-1.3955;-0.4950;1.0000
1697966414.277721479] [robot_controller]: right;2.3937;-1.3937;-0.4932;1.0000
1697966414.290357922] [robot_controller]: right;2.3917;-1.3917;-0.4037;1.0000
1697966414.298783290] [robot_controller]: right;2.3899;-1.3899;-0.4020;1.0000
1697966414.309014197] [robot_controller]: right;2.3880;-1.3880;-0.4001;1.0000
1697966414.319242389] [robot_controller]: right;2.3861;-1.3861;-0.3981;1.0000
1697966414.328763542] [robot_controller]: right;2.3842;-1.3842;-0.3962;1.0000
1697966414.337613711] [robot_controller]: right;2.3822;-1.3822;-0.3943;1.0000
1697966414.346763056] [robot_controller]: right;2.3803;-1.3803;-0.3923;1.0000
1697966414.356989923] [robot_controller]: right;2.3784;-1.3784;-0.3904;1.0000
1697966414.370380949] [robot_controller]: right;2.3764;-1.3764;-0.3009;1.0000
1697966414.383561210] [robot_controller]: right;2.3743;-1.3743;-0.2989;1.0000
1697966414.404509543] [robot_controller]: right;2.3722;-1.3722;-0.2968;1.0000
1697966414.414568540] [robot_controller]: right;2.3702;-1.3702;-0.2947;1.0000
1697966414.424933090] [robot_controller]: right;2.3681;-1.3681;-0.2926;1.0000
1697966414.444200190] [robot_controller]: right;2.3655;-1.3655;-0.2901;1.0000
1697966414.452860785] [robot_controller]: right;2.3636;-1.3636;-0.2882;1.0000
1697966414.464086000] [robot_controller]: right;2.3615;-1.3615;-0.2861;1.0000
1697966414.475002564] [robot_controller]: right;2.3593;-1.3593;-0.2839;1.0000
1697966414.484371111] [robot_controller]: right;2.3572;-1.3572;-0.2818;1.0000
1697966414.495730589] [robot_controller]: right;2.3550;-1.3550;-0.1921;1.0000
1697966414.506082769] [robot_controller]: right;2.3527;-1.3527;-0.1898;1.0000
1697966414.515560041] [robot_controller]: right;2.3505;-1.3505;-0.1876;1.0000
1697966414.529710551] [robot_controller]: right;2.3482;-1.3482;-0.1853;1.0000
1697966414.538906083] [robot_controller]: right;2.3460;-1.3460;-0.1831;1.0000
1697966414.548259361] [robot_controller]: right;2.3437;-1.3437;-0.1808;1.0000
1697966414.560496975] [robot_controller]: right;2.3414;-1.3414;-0.1785;1.0000
1697966414.569256450] [robot_controller]: right;2.3391;-1.3391;-0.1762;1.0000
1697966414.579154849] [robot_controller]: right;2.3368;-1.3368;-0.1740;1.0000
1697966414.593184988] [robot_controller]: right;2.3346;-1.3346;-0.1717;1.0000
1697966414.602193471] [robot_controller]: right;2.3322;-1.3322;-0.1694;1.0000
1697966414.611526206] [robot_controller]: right;2.3299;-1.3299;-0.1670;1.0000
1697966414.625372418] [robot_controller]: right;2.3274;-1.3274;-0.1645;1.0000
1697966414.633210449] [robot_controller]: right;2.3253;-1.3253;-0.0749;1.0000
1697966414.642025215] [robot_controller]: right;2.3229;-1.3229;-0.0726;1.0000
1697966414.659069766] [robot_controller]: right;2.3205;-1.3205;-0.0702;1.0000
1697966414.666518625] [robot_controller]: right;2.3182;-1.3182;-0.0678;1.0000
1697966414.675406394] [robot_controller]: right;2.3158;-1.3158;-0.0654;1.0000
1697966414.685570141] [robot_controller]: right;2.3134;-1.3134;-0.0630;1.0000
1697966414.703332963] [robot_controller]: right;2.3110;-1.3110;-0.0606;1.0000
1697966414.714589389] [robot_controller]: right;2.3083;-1.3083;-0.0579;1.0000
1697966414.728439809] [robot_controller]: right;2.3061;-1.3061;-0.0558;1.0000
1697966414.737437492] [robot_controller]: right;2.3037;-1.3037;-0.0534;1.0000
1697966414.747736512] [robot_controller]: right;2.3013;-1.3013;-0.0509;1.0000
1697966414.755425546] [robot_controller]: right;2.2989;-1.2989;-0.0485;1.0000
1697966414.768513509] [robot_controller]: right;2.2964;-1.2964;-0.0461;1.0000
1697966414.778259787] [robot_controller]: right;2.2940;-1.2940;-0.0436;1.0000
1697966414.788815081] [robot_controller]: right;2.2915;-1.2915;-0.0412;1.0000
1697966414.802416150] [robot_controller]: right;2.2891;-1.2891;-0.0387;1.0000
1697966414.810775100] [robot_controller]: right;2.2866;-1.2866;-0.0363;1.0000
1697966414.820165802] [robot_controller]: right;2.2841;-1.2841;-0.0338;1.0000
1697966414.836192290] [robot_controller]: right;2.2817;-1.2817;-0.0313;1.0000
1697966414.844611396] [robot_controller]: right;2.2792;-1.2792;-0.0288;1.0000
1697966414.862128213] [robot_controller]: right;2.2767;-1.2767;-0.0264;1.0000
1697966414.869648329] [robot_controller]: right;2.2742;-1.2742;-0.0239;1.0000
1697966414.879414619] [robot_controller]: right;2.2717;-1.2717;-0.0214;1.0000
1697966414.888787448] [robot_controller]: right;2.2692;-1.2692;-0.0189;1.0000
1697966414.912844034] [robot_controller]: right;2.2667;-1.2667;-0.0164;1.0000
1697966414.926400296] [robot_controller]: right;2.2642;-1.2642;-0.0139;1.0000
1697966414.936887489] [robot_controller]: right;2.2612;-1.2612;-0.0108;1.0000
1697966414.947249166] [robot_controller]: right;2.2589;-1.2589;-0.0086;1.0000
1697966414.958128278] [robot_controller]: right;2.2564;-1.2564;-0.0060;1.0000
1697966414.968279408] [robot_controller]: right;2.2539;-1.2539;-0.0035;1.0000
1697966414.974892856] [robot_controller]: right;2.2513;-1.2513;-0.0010;1.0000
1697966414.984879296] [robot_controller]: right;2.2488;-1.2488;0.0015;1.0000
1697966414.998570857] [robot_controller]: right;2.2463;-1.2463;0.0041;1.0000
1697966415.007005383] [robot_controller]: right;2.2437;-1.2437;0.0941;1.0000
1697966415.022014246] [robot_controller]: right;2.2412;-1.2412;0.0966;1.0000
1697966415.029848336] [robot_controller]: right;2.2387;-1.2387;0.0992;1.0000
1697966415.038862198] [robot_controller]: right;2.2361;-1.2361;0.0142;1.0000
1697966415.054012442] [robot_controller]: right;2.2336;-1.2336;0.0168;1.0000
1697966415.060572759] [robot_controller]: right;2.2310;-1.2310;0.1068;1.0000
1697966415.069847989] [robot_controller]: right;2.2285;-1.2285;0.1093;1.0000
1697966415.077369598] [robot_controller]: right;2.2260;-1.2260;0.0244;1.0000
1697966415.087521091] [robot_controller]: right;2.2234;-1.2234;0.0269;1.0000
1697966415.098214621] [robot_controller]: right;2.2209;-1.2209;0.0295;1.0000
1697966415.114384336] [robot_controller]: right;2.2184;-1.2184;0.1194;1.0000
1697966415.124007335] [robot_controller]: right;2.2158;-1.2158;0.1220;1.0000
1697966415.136779078] [robot_controller]: right;2.2133;-1.2133;0.0370;1.0000
1697966415.147033812] [robot_controller]: right;2.2108;-1.2108;0.0396;1.0000
1697966415.159753839] [robot_controller]: right;2.2083;-1.2083;0.0421;1.0000
1697966415.169335106] [robot_controller]: right;2.2057;-1.2057;0.0446;1.0000
1697966415.179118293] [robot_controller]: right;2.2032;-1.2032;0.0471;1.0000
1697966415.193861310] [robot_controller]: right;2.2007;-1.2007;0.0497;1.0000
1697966415.203555955] [robot_controller]: right;2.1982;-1.1982;0.0522;1.0000
1697966415.211650105] [robot_controller]: right;2.1956;-1.1956;0.0547;1.0000
1697966415.224979337] [robot_controller]: right;2.1931;-1.1931;0.0572;1.0000
1697966415.233829854] [robot_controller]: right;2.1906;-1.1906;0.0598;1.0000
1697966415.242284390] [robot_controller]: right;2.1881;-1.1881;0.0623;1.0000
1697966415.253199593] [robot_controller]: right;2.1855;-1.1855;0.0648;1.0000
1697966415.260381767] [robot_controller]: right;2.1836;-1.1836;-0.0208;1.0000
1697966415.276786757] [robot_controller]: right;2.1811;-1.1811;-0.0182;1.0000
1697966415.286487896] [robot_controller]: right;2.1786;-1.1786;-0.0157;1.0000
1697966415.297364183] [robot_controller]: right;2.1761;-1.1761;-0.0132;1.0000
1697966415.305822259] [robot_controller]: right;2.1741;-1.1741;-0.0112;1.0000
1697966415.316195705] [robot_controller]: right;2.1724;-1.1724;-0.0970;1.0000
1697966415.330848404] [robot_controller]: right;2.1699;-1.1699;-0.0945;1.0000
1697966415.338198520] [robot_controller]: right;2.1674;-1.1674;-0.0920;1.0000
1697966415.348091481] [robot_controller]: right;2.1649;-1.1649;-0.0895;1.0000
1697966415.362691067] [robot_controller]: right;2.1646;-1.1646;-0.1766;1.0000
1697966415.372501700] [robot_controller]: right;2.1621;-1.1621;-0.1742;1.0000
1697966415.388336957] [robot_controller]: right;2.1597;-1.1597;-0.1717;1.0000
1697966415.403085661] [robot_controller]: right;2.1573;-1.1573;-0.1693;1.0000
1697966415.418720180] [robot_controller]: right;2.1548;-1.1548;-0.1669;1.0000
1697966415.432984215] [robot_controller]: right;2.1533;-1.1533;-0.1653;1.0000
1697966415.445179781] [robot_controller]: right;2.1527;-1.1527;-0.2522;1.0000
1697966415.464593171] [robot_controller]: right;2.1505;-1.1505;-0.2500;1.0000
1697966415.478344682] [robot_controller]: right;2.1482;-1.1482;-0.2477;1.0000
1697966415.492551669] [robot_controller]: right;2.1458;-1.1458;-0.2453;1.0000
1697966415.498120697] [robot_controller]: right;2.1434;-1.1434;-0.2429;1.0000
1697966415.507557366] [robot_controller]: right;2.1442;-1.1442;-0.2437;1.0000
1697966415.523120201] [robot_controller]: right;2.1426;-1.1426;-0.3296;1.0000
1697966415.531322932] [robot_controller]: right;2.1403;-1.1403;-0.3272;1.0000
1697966415.540106944] [robot_controller]: right;2.1380;-1.1380;-0.3250;1.0000
1697966415.554562765] [robot_controller]: right;2.1357;-1.1357;-0.3227;1.0000
1697966415.562488604] [robot_controller]: right;2.1334;-1.1334;-0.3203;1.0000
1697966415.572009502] [robot_controller]: right;2.1340;-1.1340;-0.3210;1.0000
1697966415.587574266] [robot_controller]: right;2.1337;-1.1337;-0.4082;1.0000
1697966415.591089300] [robot_controller]: right;2.1314;-1.1314;-0.4059;1.0000
1697966415.603063886] [robot_controller]: right;2.1292;-1.1292;-0.4036;1.0000
1697966415.611937715] [robot_controller]: right;2.1270;-1.1270;-0.4014;1.0000
1697966415.627877296] [robot_controller]: right;2.1248;-1.1248;-0.3992;1.0000
1697966415.638433442] [robot_controller]: right;2.1226;-1.1226;-0.3970;1.0000
1697966415.646313283] [robot_controller]: right;2.1247;-1.1247;-0.3992;1.0000
1697966415.662177134] [robot_controller]: right;2.1243;-1.1243;-0.4862;1.0000
1697966415.671310327] [robot_controller]: right;2.1221;-1.1221;-0.4840;1.0000
1697966415.685395166] [robot_controller]: right;2.1201;-1.1201;-0.4820;1.0000
1697966415.690877917] [robot_controller]: right;2.1180;-1.1180;-0.4799;1.0000
1697966415.699670874] [robot_controller]: right;2.1160;-1.1160;-0.4779;1.0000
1697966415.710255995] [robot_controller]: right;2.1139;-1.1139;-0.4758;1.0000
1697966415.720471552] [robot_controller]: right;2.1124;-1.1124;-0.4743;1.0000
1697966415.728749099] [robot_controller]: right;2.1141;-1.1141;-0.4760;1.0000
1697966415.738482438] [robot_controller]: right;2.1151;-1.1151;-0.5645;1.0000
1697966415.751802397] [robot_controller]: right;2.1131;-1.1131;-0.5625;1.0000
