1697966080.996559970;k1: 1.0
1697966080.997052309;k2: 5.0
1697966080.997491329;Max_linear: 10.0
1697966080.997983120;Max_angular: 10.0
1697966080.998498267;Target_distance: 1.0
time;side;closest_point_dist;relative_dist;angular_vel;linear_vel
1697966093.565512614;right;2.7108;-1.7108;-0.3730;1.0000
1697966093.578389235;right;2.7080;-1.7080;-0.3701;1.0000
1697966093.583864023;right;2.7056;-1.7056;-0.3678;1.0000
1697966093.597357433;right;2.7031;-1.7031;-0.3652;1.0000
1697966093.606869047;right;2.7005;-1.7005;-0.3626;1.0000
1697966093.625776370;right;2.6979;-1.6979;-0.3600;1.0000
1697966093.632421059;right;2.6952;-1.6952;-0.3574;1.0000
1697966093.642343827;right;2.6926;-1.6926;-0.3548;1.0000
1697966093.652802139;right;2.6900;-1.6900;-0.2647;1.0000
1697966093.663138696;right;2.6873;-1.6873;-0.2620;1.0000
1697966093.674388847;right;2.6845;-1.6845;-0.2592;1.0000
1697966093.684325356;right;2.6818;-1.6818;-0.2565;1.0000
1697966093.696669014;right;2.6791;-1.6791;-0.2538;1.0000
1697966093.705795484;right;2.6763;-1.6763;-0.2510;1.0000
1697966093.716778301;right;2.6736;-1.6736;-0.2483;1.0000
1697966093.723401273;right;2.6708;-1.6708;-0.2455;1.0000
1697966093.741778375;right;2.6680;-1.6680;-0.2428;1.0000
1697966093.762129259;right;2.6650;-1.6650;-0.2397;1.0000
1697966093.770570118;right;2.6625;-1.6625;-0.2372;1.0000
1697966093.779125194;right;2.6594;-1.6594;-0.2341;1.0000
1697966093.786690587;right;2.6569;-1.6569;-0.2316;1.0000
1697966093.818186390;right;2.6541;-1.6541;-0.2288;1.0000
1697966093.824330119;right;2.6513;-1.6513;-0.1385;1.0000
1697966093.830607304;right;2.6484;-1.6484;-0.1356;1.0000
1697966093.842360902;right;2.6454;-1.6454;0.3921;1.0000
1697966093.850848077;right;2.6415;-1.6415;0.3960;1.0000
1697966093.856697349;right;2.6376;-1.6376;0.3999;1.0000
1697966093.871943737;right;2.6337;-1.6337;0.4039;1.0000
1697966093.878594408;right;2.6298;-1.6298;0.4078;1.0000
1697966093.894342894;right;2.6259;-1.6259;0.4117;1.0000
1697966093.902449937;right;2.6220;-1.6220;0.4155;1.0000
1697966093.908258243;right;2.6182;-1.6182;0.4193;1.0000
1697966093.918020859;right;2.6144;-1.6144;0.4231;1.0000
1697966093.925365268;right;2.6106;-1.6106;0.3395;1.0000
1697966093.935236561;right;2.6068;-1.6068;0.3433;1.0000
1697966093.948609563;right;2.6030;-1.6030;0.3471;1.0000
1697966093.961142827;right;2.5992;-1.5992;0.3509;1.0000
1697966093.975483907;right;2.5955;-1.5955;0.3546;1.0000
