1697966408.198654875;k1: 1.0
1697966408.199840104;k2: 5.0
1697966408.200762381;Max_linear: 10.0
1697966408.201576518;Max_angular: 10.0
1697966408.202515232;Target_distance: 1.0
time;side;closest_point_dist;relative_dist;angular_vel;linear_vel
1697966413.133759091;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.142687094;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.155140903;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.163756091;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.178890626;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.188769656;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.198688295;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.213756014;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.226927545;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.236154733;right;2.3741;-1.3741;-6.4212;0.2000
1697966413.244095899;right;2.3740;-1.3740;-6.4211;0.2000
1697966413.253611220;right;2.3740;-1.3740;-6.4211;0.2000
1697966413.267385533;right;2.3739;-1.3739;-6.4210;0.2000
1697966413.278386060;right;2.3738;-1.3738;-6.4209;0.2000
1697966413.286472848;right;2.3737;-1.3737;-6.4208;0.2000
1697966413.296445140;right;2.3736;-1.3736;-6.4207;0.2000
1697966413.305952866;right;2.3735;-1.3735;-6.4206;0.2000
1697966413.320617009;right;2.3740;-1.3740;-6.3336;0.2000
1697966413.330387114;right;2.3752;-1.3752;-6.1599;0.2000
1697966413.341956049;right;2.3763;-1.3763;-6.0736;0.2000
1697966413.351181707;right;2.3775;-1.3775;-5.9873;0.2000
1697966413.365101075;right;2.3786;-1.3786;-5.8135;0.2000
1697966413.375424904;right;2.3797;-1.3797;-5.7271;0.2000
1697966413.384240561;right;2.3809;-1.3809;-5.5534;0.2000
1697966413.399745195;right;2.3822;-1.3822;-5.4672;0.2000
1697966413.408864718;right;2.3836;-1.3836;-5.2936;0.2000
1697966413.419859356;right;2.3850;-1.3850;-5.2076;0.2000
1697966413.433599238;right;2.3865;-1.3865;-5.0342;0.2000
1697966413.448770978;right;2.3877;-1.3877;-4.9479;0.2021
1697966413.457717094;right;2.3889;-1.3889;-4.7742;0.2095
1697966413.472790511;right;2.3901;-1.3901;-4.6880;0.2133
1697966413.481028280;right;2.3914;-1.3914;-4.5143;0.2215
1697966413.489929327;right;2.3925;-1.3925;-4.4279;0.2258
1697966413.502854047;right;2.3937;-1.3937;-4.3417;0.2303
1697966413.511788065;right;2.3948;-1.3948;-4.1679;0.2399
1697966413.519558662;right;2.3959;-1.3959;-4.0815;0.2450
1697966413.529528198;right;2.3971;-1.3971;-3.9952;0.2503
1697966413.537411538;right;2.3983;-1.3983;-3.9089;0.2558
1697966413.546522826;right;2.3995;-1.3995;-3.8227;0.2616
1697966413.557312637;right;2.4006;-1.4006;-3.6488;0.2741
1697966413.567309214;right;2.4017;-1.4017;-3.5624;0.2807
1697966413.578735316;right;2.4027;-1.4027;-3.4760;0.2877
1697966413.593664881;right;2.4037;-1.4037;-3.3896;0.2950
1697966413.607837700;right;2.4047;-1.4047;-3.3031;0.3028
1697966413.618028266;right;2.4057;-1.4057;-3.2166;0.3109
1697966413.628538634;right;2.4067;-1.4067;-3.1302;0.3195
1697966413.642003772;right;2.4077;-1.4077;-3.0437;0.3286
1697966413.653387703;right;2.4087;-1.4087;-2.9572;0.3382
1697966413.663752880;right;2.4097;-1.4097;-2.8708;0.3484
1697966413.679909546;right;2.4107;-1.4107;-2.8717;0.3482
1697966413.690442236;right;2.4116;-1.4116;-2.7852;0.3591
1697966413.703748701;right;2.4124;-1.4124;-2.6986;0.3706
1697966413.713518849;right;2.4133;-1.4133;-2.6120;0.3829
1697966413.722701938;right;2.4142;-1.4142;-2.5254;0.3960
1697966413.737996075;right;2.4150;-1.4150;-2.5262;0.3959
1697966413.749749814;right;2.4158;-1.4158;-2.4395;0.4099
1697966413.756782312;right;2.4166;-1.4166;-2.3528;0.4250
1697966413.767861090;right;2.4174;-1.4174;-2.2662;0.4413
1697966413.776239066;right;2.4180;-1.4180;-2.2668;0.4412
1697966413.784920799;right;2.4187;-1.4187;-2.1800;0.4587
1697966413.794918813;right;2.4194;-1.4194;-2.0933;0.4777
1697966413.808427522;right;2.4200;-1.4200;-2.0938;0.4776
1697966413.820404057;right;2.4206;-1.4206;-2.0070;0.4983
1697966413.835047172;right;2.4212;-1.4212;-2.0076;0.4981
1697966413.841081027;right;2.4216;-1.4216;-1.9206;0.5207
1697966413.850359148;right;2.4222;-1.4222;-1.8337;0.5454
1697966413.860901798;right;2.4226;-1.4226;-1.8340;0.5453
1697966413.872958908;right;2.4230;-1.4230;-1.7470;0.5724
1697966413.884667238;right;2.4233;-1.4233;-1.7473;0.5723
1697966413.897357162;right;2.4236;-1.4236;-1.6602;0.6024
1697966413.923946220;right;2.4239;-1.4239;-1.6605;0.6023
1697966413.926985361;right;2.4242;-1.4242;-1.5733;0.6357
1697966413.935149551;right;2.4244;-1.4244;-1.5735;0.6356
1697966413.943070843;right;2.4245;-1.4245;-1.4861;0.6729
1697966413.957664758;right;2.4246;-1.4246;-1.4862;0.6729
1697966413.965504352;right;2.4247;-1.4247;-1.3988;0.7149
1697966413.976861455;right;2.4246;-1.4246;-1.3987;0.7150
1697966413.990855584;right;2.4245;-1.4245;-1.3112;0.7627
1697966413.999475106;right;2.4243;-1.4243;-1.3110;0.7628
1697966414.010369949;right;2.4241;-1.4241;-1.2233;0.8175
1697966414.026462352;right;2.4237;-1.4237;-1.2229;0.8178
1697966414.033784619;right;2.4234;-1.4234;-1.1352;0.8810
1697966414.042871135;right;2.4228;-1.4228;-1.1346;0.8814
1697966414.057311492;right;2.4224;-1.4224;-1.0467;0.9555
1697966414.065212620;right;2.4216;-1.4216;-1.0459;0.9562
1697966414.074802127;right;2.4210;-1.4210;-1.0452;0.9568
1697966414.085900384;right;2.4200;-1.4200;-0.9568;1.0000
1697966414.103075981;right;2.4192;-1.4192;-0.9560;1.0000
1697966414.107161644;right;2.4180;-1.4180;-0.8674;1.0000
1697966414.117290857;right;2.4170;-1.4170;-0.8663;1.0000
1697966414.130809733;right;2.4156;-1.4156;-0.7775;1.0000
1697966414.139500438;right;2.4143;-1.4143;-0.6888;1.0000
1697966414.149809510;right;2.4128;-1.4128;-0.6872;1.0000
1697966414.162533202;right;2.4113;-1.4113;-0.6857;1.0000
1697966414.171773767;right;2.4097;-1.4097;-0.5966;1.0000
1697966414.182587286;right;2.4080;-1.4080;-0.5949;1.0000
1697966414.197376765;right;2.4063;-1.4063;-0.5932;1.0000
1697966414.207039413;right;2.4046;-1.4046;-0.5915;1.0000
1697966414.218719041;right;2.4027;-1.4027;-0.5022;1.0000
1697966414.233806474;right;2.4009;-1.4009;-0.5004;1.0000
1697966414.244410157;right;2.3991;-1.3991;-0.4986;1.0000
1697966414.253530400;right;2.3973;-1.3973;-0.4968;1.0000
1697966414.268237704;right;2.3955;-1.3955;-0.4950;1.0000
1697966414.277721479;right;2.3937;-1.3937;-0.4932;1.0000
1697966414.290357922;right;2.3917;-1.3917;-0.4037;1.0000
1697966414.298783290;right;2.3899;-1.3899;-0.4020;1.0000
1697966414.309014197;right;2.3880;-1.3880;-0.4001;1.0000
1697966414.319242389;right;2.3861;-1.3861;-0.3981;1.0000
1697966414.328763542;right;2.3842;-1.3842;-0.3962;1.0000
1697966414.337613711;right;2.3822;-1.3822;-0.3943;1.0000
1697966414.346763056;right;2.3803;-1.3803;-0.3923;1.0000
1697966414.356989923;right;2.3784;-1.3784;-0.3904;1.0000
1697966414.370380949;right;2.3764;-1.3764;-0.3009;1.0000
