1697968031.854528332;k1: 5.0
1697968031.855183374;k2: 1.0
1697968031.855746193;Max_linear: 10.0
1697968031.856243727;Max_angular: 10.0
1697968031.856720601;Target_distance: 1.0
1697968041.546396559;right;2.1672;-1.1672;-5.4986;0.2000
1697968041.561967750;right;2.1672;-1.1672;-5.4986;0.2000
1697968041.572044428;right;2.1672;-1.1672;-5.4987;0.2000
1697968041.581020431;right;2.1673;-1.1673;-5.4814;0.2000
1697968041.596048642;right;2.1672;-1.1672;-5.4811;0.2000
1697968041.603705303;right;2.1672;-1.1672;-5.4811;0.2000
1697968041.614230938;right;2.1672;-1.1672;-5.4636;0.2000
1697968041.624158612;right;2.1672;-1.1672;-5.4634;0.2000
1697968041.644598666;right;2.1671;-1.1671;-5.4454;0.2000
1697968041.656135634;right;2.1670;-1.1670;-5.4274;0.2000
1697968041.667345471;right;2.1667;-1.1667;-5.4262;0.2000
1697968041.677930610;right;2.1665;-1.1665;-5.4074;0.2000
1697968041.701804846;right;2.1662;-1.1662;-5.3885;0.2000
1697968041.710191904;right;2.1659;-1.1659;-5.3694;0.2000
1697968041.718301376;right;2.1655;-1.1655;-5.3500;0.2000
1697968041.738526520;right;2.1651;-1.1651;-5.3303;0.2000
1697968041.745891394;right;2.1645;-1.1645;-5.3101;0.2000
1697968041.753290346;right;2.1639;-1.1639;-5.2896;0.2000
1697968041.760026906;right;2.1632;-1.1632;-5.2686;0.2000
1697968041.768145040;right;2.1625;-1.1625;-5.2474;0.2000
1697968041.788123901;right;2.1617;-1.1617;-5.2258;0.2000
1697968041.796193103;right;2.1608;-1.1608;-5.1865;0.2000
1697968041.804603277;right;2.1597;-1.1597;-5.1636;0.2000
1697968041.813073845;right;2.1586;-1.1586;-5.1408;0.2000
1697968041.826180817;right;2.1574;-1.1574;-5.0997;0.2000
1697968041.836740902;right;2.1561;-1.1561;-5.0757;0.2000
1697968041.845527266;right;2.1548;-1.1548;-5.0340;0.2000
1697968041.852813073;right;2.1534;-1.1534;-5.0096;0.2000
1697968041.862433947;right;2.1521;-1.1521;-4.9680;0.2013
1697968041.880556389;right;2.1505;-1.1505;-4.9424;0.2023
1697968041.885617824;right;2.1492;-1.1492;-4.9186;0.2033
1697968041.894730588;right;2.1477;-1.1477;-4.8760;0.2051
1697968041.903482640;right;2.1461;-1.1461;-4.8508;0.2062
1697968041.917489972;right;2.1446;-1.1446;-4.8082;0.2080
1697968041.928310368;right;2.1429;-1.1429;-4.7822;0.2091
1697968041.935840680;right;2.1413;-1.1413;-4.7565;0.2102
1697968041.946102582;right;2.1396;-1.1396;-4.7130;0.2122
1697968041.964333368;right;2.1378;-1.1378;-4.6866;0.2134
1697968041.971500215;right;2.1360;-1.1360;-4.6604;0.2146
1697968041.981138785;right;2.1342;-1.1342;-4.6163;0.2166
1697968041.989099746;right;2.1323;-1.1323;-4.5893;0.2179
1697968041.997839708;right;2.1304;-1.1304;-4.5625;0.2192
1697968042.018257713;right;2.1285;-1.1285;-4.5180;0.2213
1697968042.026585141;right;2.1265;-1.1265;-4.4904;0.2227
1697968042.036631397;right;2.1245;-1.1245;-4.4629;0.2241
1697968042.055199209;right;2.1223;-1.1223;-4.4170;0.2264
1697968042.063262187;right;2.1202;-1.1202;-4.3889;0.2279
1697968042.073819456;right;2.1181;-1.1181;-4.3608;0.2293
1697968042.083380613;right;2.1160;-1.1160;-4.3328;0.2308
1697968042.101024361;right;2.1139;-1.1139;-4.2872;0.2333
1697968042.111015365;right;2.1116;-1.1116;-4.2584;0.2348
1697968042.120361765;right;2.1094;-1.1094;-4.2297;0.2364
1697968042.128475981;right;2.1071;-1.1071;-4.2010;0.2380
1697968042.138223056;right;2.1049;-1.1049;-4.1723;0.2397
1697968042.162299824;right;2.1026;-1.1026;-4.1258;0.2424
1697968042.170433674;right;2.1002;-1.1002;-4.0964;0.2441
1697968042.179736650;right;2.0978;-1.0978;-4.0671;0.2459
1697968042.187136816;right;2.0955;-1.0955;-4.0378;0.2477
1697968042.195927636;right;2.0931;-1.0931;-4.0084;0.2495
1697968042.211056294;right;2.0907;-1.0907;-3.9789;0.2513
1697968042.222328079;right;2.0882;-1.0882;-3.9317;0.2544
1697968042.229216493;right;2.0857;-1.0857;-3.9015;0.2563
1697968042.240618071;right;2.0832;-1.0832;-3.8714;0.2583
1697968042.249601926;right;2.0807;-1.0807;-3.8413;0.2603
1697968042.269540119;left;2.0781;1.0781;3.8286;0.2612
1697968042.279239952;left;2.0755;1.0755;3.8330;0.2609
1697968042.289404752;left;2.0733;1.0733;3.8392;0.2605
1697968042.303189152;left;2.0710;1.0710;3.8631;0.2589
1697968042.314565376;left;2.0695;1.0695;3.8729;0.2582
1697968042.324232371;left;2.0677;1.0677;3.8813;0.2576
1697968042.334311116;left;2.0658;1.0658;3.8894;0.2571
1697968042.352086138;left;2.0638;1.0638;3.8794;0.2578
1697968042.361204213;left;2.0618;1.0618;3.8871;0.2573
1697968042.368593693;left;2.0599;1.0599;3.8776;0.2579
1697968042.379939098;left;2.0579;1.0579;3.8847;0.2574
1697968042.402181104;left;2.0561;1.0561;3.8760;0.2580
1697968042.409528639;left;2.0542;1.0542;3.8665;0.2586
1697968042.417687859;left;2.0523;1.0523;3.8570;0.2593
1697968042.426605232;left;2.0504;1.0504;3.8475;0.2599
1697968042.449662487;left;2.0486;1.0486;3.8381;0.2605
1697968042.458023572;left;2.0467;1.0467;3.8114;0.2624
1697968042.466382542;left;2.0447;1.0447;3.8016;0.2630
1697968042.473829381;left;2.0429;1.0429;3.7925;0.2637
